REF;NAME;PVP03;PVP04;PVP02
0009175;VINILO Nº 8 PARA CONO (MEDIDA 7,80 X 12,90 CM) BLANCO;0.5;0.55;0.6
0009176;VINILO Nº 9 PARA CONO (MEDIDA 7,80 X 12,90 CM) BLANCO;0.5;0.55;0.6
0009177;VINILO IGUAL PARA CONO (MEDIDA 9,60 X 7,90 CM) BLANCO;0.5;0.55;0.6
0009178;VINILO MULTIPLICACION PARA CONO (MEDIDA 10,10 X 11,50 CM) BLANCO;0.5;0.55;0.6
0009179;VINILO DIVISION PARA CONO (MEDIDA 11,40 X 9,70 CM) BLANCO;0.5;0.55;0.6
0009180;VINILO SUMA PARA CONO (MEDIDA 11,80 X 12,50 CM) BLANCO;0.5;0.55;0.6
0009181;VINILO RESTA PARA CONO (MEDIDA 9,50 X 2,30 CM) BLANCO;0.5;0.55;0.6
0009182;VINILO CERDITO PARA CONO (MEDIDA 10,90 X 12 CM) BLANCO;0.6;0.66;0.72
0009183;VINILO COCODRILO PARA CONO (MEDIDA 12 X 9,40 CM) BLANCO;0.6;0.66;0.72
0009184;VINILO FOQUITA PARA CONO (MEDIDA 12 X 12 CM) BLANCO;0.6;0.66;0.72
